MPID,Description
mp-1269,"SmS is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Sm(1) is bonded to six equivalent S(1) atoms to form a mixture of edge and corner-sharing SmS6 octahedra. The corner-sharing octahedra are not tilted. All Sm(1)-S(1) bond lengths are 2.83 Å. S(1) is bonded to six equivalent Sm(1) atoms to form a mixture of edge and corner-sharing SSm6 octahedra. The corner-sharing octahedra are not tilted."
mp-23209,SrCl2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Sr(1) is bonded in a body-centered cubic geometry to eight equivalent Cl(1) atoms. All Sr(1)-Cl(1) bond lengths are 3.03 Å. Cl(1) is bonded to four equivalent Sr(1) atoms to form a mixture of edge and corner-sharing ClSr4 tetrahedra.
mp-861640,Ti2AlRe is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to four equivalent Re(1) and four equivalent Al(1) atoms. All Ti(1)-Re(1) bond lengths are 2.72 Å. All Ti(1)-Al(1) bond lengths are 2.72 Å. Re(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ti(1) and six equivalent Al(1) atoms. All Re(1)-Al(1) bond lengths are 3.14 Å. Al(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ti(1) and six equivalent Re(1) atoms.
mp-1352,"ZrN is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Zr(1) is bonded to six equivalent N(1) atoms to form a mixture of edge and corner-sharing ZrN6 octahedra. The corner-sharing octahedra are not tilted. All Zr(1)-N(1) bond lengths are 2.29 Å. N(1) is bonded to six equivalent Zr(1) atoms to form a mixture of edge and corner-sharing NZr6 octahedra. The corner-sharing octahedra are not tilted."
mp-867250,LiPdZn2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to six equivalent Pd(1) and eight equivalent Zn(1) atoms. All Li(1)-Pd(1) bond lengths are 3.02 Å. All Li(1)-Zn(1) bond lengths are 2.61 Å. Pd(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Zn(1) atoms. All Pd(1)-Zn(1) bond lengths are 2.61 Å. Zn(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Pd(1) atoms.
mp-865162,MgRh2Ge is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) and six equivalent Ge(1) atoms. All Mg(1)-Rh(1) bond lengths are 2.62 Å. All Mg(1)-Ge(1) bond lengths are 3.03 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Ge(1) atoms. All Rh(1)-Ge(1) bond lengths are 2.62 Å. Ge(1) is bonded in a distorted body-centered cubic geometry to six equivalent Mg(1) and eight equivalent Rh(1) atoms.
mp-10895,Mn2VAl is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a body-centered cubic geometry to eight equivalent Mn(1) atoms. All V(1)-Mn(1) bond lengths are 2.62 Å. Mn(1) is bonded in a body-centered cubic geometry to four equivalent V(1) and four equivalent Al(1) atoms. All Mn(1)-Al(1) bond lengths are 2.62 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Mn(1) atoms.
mp-862657,LiPd2Cu is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) and six equivalent Cu(1) atoms. All Li(1)-Pd(1) bond lengths are 2.58 Å. All Li(1)-Cu(1) bond lengths are 2.97 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Cu(1) atoms. All Pd(1)-Cu(1) bond lengths are 2.58 Å. Cu(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Pd(1) atoms.
mp-864896,Zr2TcCo is Heusler structured and crystallizes in the cubic Fm-3m space group. Zr(1) is bonded in a body-centered cubic geometry to four equivalent Tc(1) and four equivalent Co(1) atoms. All Zr(1)-Tc(1) bond lengths are 2.81 Å. All Zr(1)-Co(1) bond lengths are 2.81 Å. Tc(1) is bonded in a body-centered cubic geometry to eight equivalent Zr(1) atoms. Co(1) is bonded in a body-centered cubic geometry to eight equivalent Zr(1) atoms.
mp-30765,"LiPt7 crystallizes in the cubic Fm-3m space group. Li(1) is bonded to twelve equivalent Pt(2) atoms to form LiPt12 cuboctahedra that share corners with twelve equivalent Li(1)Pt12 cuboctahedra and faces with six equivalent Pt(1)Pt12 cuboctahedra. All Li(1)-Pt(2) bond lengths are 2.76 Å. There are two inequivalent Pt sites. In the first Pt site, Pt(1) is bonded to twelve equivalent Pt(2) atoms to form PtPt12 cuboctahedra that share corners with twelve equivalent Pt(1)Pt12 cuboctahedra and faces with six equivalent Li(1)Pt12 cuboctahedra. All Pt(1)-Pt(2) bond lengths are 2.76 Å. In the second Pt site, Pt(2) is bonded in a distorted linear geometry to two equivalent Li(1) and two equivalent Pt(1) atoms."
mp-16524,ScPd2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Sc(1)-Pd(1) bond lengths are 2.75 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Sc(1) and four equivalent Al(1) atoms. All Pd(1)-Al(1) bond lengths are 2.75 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms.
mp-865482,VTc2Ge is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Tc(1) and six equivalent Ge(1) atoms. All V(1)-Tc(1) bond lengths are 2.61 Å. All V(1)-Ge(1) bond lengths are 3.02 Å. Tc(1) is bonded in a body-centered cubic geometry to four equivalent V(1) and four equivalent Ge(1) atoms. All Tc(1)-Ge(1) bond lengths are 2.61 Å. Ge(1) is bonded in a distorted body-centered cubic geometry to six equivalent V(1) and eight equivalent Tc(1) atoms.
mp-864839,RhPdZn2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Rh(1) is bonded in a body-centered cubic geometry to eight equivalent Zn(1) atoms. All Rh(1)-Zn(1) bond lengths are 2.60 Å. Pd(1) is bonded in a body-centered cubic geometry to eight equivalent Zn(1) atoms. All Pd(1)-Zn(1) bond lengths are 2.60 Å. Zn(1) is bonded in a body-centered cubic geometry to four equivalent Rh(1) and four equivalent Pd(1) atoms.
mp-865501,V2TcRu is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a body-centered cubic geometry to four equivalent Tc(1) and four equivalent Ru(1) atoms. All V(1)-Tc(1) bond lengths are 2.60 Å. All V(1)-Ru(1) bond lengths are 2.60 Å. Tc(1) is bonded in a distorted body-centered cubic geometry to eight equivalent V(1) atoms. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent V(1) atoms.
mp-867272,LiCu2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Cu(1) and six equivalent Al(1) atoms. All Li(1)-Cu(1) bond lengths are 2.52 Å. All Li(1)-Al(1) bond lengths are 2.91 Å. Cu(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Al(1) atoms. All Cu(1)-Al(1) bond lengths are 2.52 Å. Al(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Cu(1) atoms.
mp-865925,LiZrIr2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Li(1)-Ir(1) bond lengths are 2.71 Å. Zr(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Zr(1)-Ir(1) bond lengths are 2.71 Å. Ir(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Zr(1) atoms.
mp-31187,TiFe2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Fe(1) atoms. All Ti(1)-Fe(1) bond lengths are 2.51 Å. Fe(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Al(1) atoms. All Fe(1)-Al(1) bond lengths are 2.51 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Fe(1) atoms.
mp-866071,MgTaOs2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All Mg(1)-Os(1) bond lengths are 2.71 Å. Ta(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All Ta(1)-Os(1) bond lengths are 2.71 Å. Os(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Ta(1) atoms.
mp-2083,IrSn2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Sn(1) atoms. All Ir(1)-Sn(1) bond lengths are 2.76 Å. Sn(1) is bonded to four equivalent Ir(1) atoms to form a mixture of edge and corner-sharing SnIr4 tetrahedra.
mp-27831,"Rb2ZrCl6 crystallizes in the cubic Fm-3m space group. Rb(1) is bonded to twelve equivalent Cl(1) atoms to form RbCl12 cuboctahedra that share corners with twelve equivalent Rb(1)Cl12 cuboctahedra, faces with six equivalent Rb(1)Cl12 cuboctahedra, and faces with four equivalent Zr(1)Cl6 octahedra. All Rb(1)-Cl(1) bond lengths are 3.61 Å. Zr(1) is bonded to six equivalent Cl(1) atoms to form ZrCl6 octahedra that share faces with eight equivalent Rb(1)Cl12 cuboctahedra. All Zr(1)-Cl(1) bond lengths are 2.47 Å. Cl(1) is bonded in a distorted single-bond geometry to four equivalent Rb(1) and one Zr(1) atom."
mp-862431,Sc2OsAg is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Os(1) and four equivalent Ag(1) atoms. All Sc(1)-Os(1) bond lengths are 2.85 Å. All Sc(1)-Ag(1) bond lengths are 2.85 Å. Os(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Ag(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-866164,MgYHg2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Hg(1) atoms. All Mg(1)-Hg(1) bond lengths are 3.09 Å. Y(1) is bonded in a body-centered cubic geometry to eight equivalent Hg(1) atoms. All Y(1)-Hg(1) bond lengths are 3.09 Å. Hg(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Y(1) atoms.
mp-865929,RhPtCd2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Rh(1) is bonded in a body-centered cubic geometry to eight equivalent Cd(1) atoms. All Rh(1)-Cd(1) bond lengths are 2.79 Å. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent Cd(1) atoms. All Pt(1)-Cd(1) bond lengths are 2.79 Å. Cd(1) is bonded in a body-centered cubic geometry to four equivalent Rh(1) and four equivalent Pt(1) atoms.
mp-549,"ScSb is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded to six equivalent Sb(1) atoms to form a mixture of edge and corner-sharing ScSb6 octahedra. The corner-sharing octahedra are not tilted. All Sc(1)-Sb(1) bond lengths are 2.95 Å. Sb(1) is bonded to six equivalent Sc(1) atoms to form a mixture of edge and corner-sharing SbSc6 octahedra. The corner-sharing octahedra are not tilted."
mp-27828,"Cs2TiCl6 crystallizes in the cubic Fm-3m space group. Cs(1) is bonded to twelve equivalent Cl(1) atoms to form CsCl12 cuboctahedra that share corners with twelve equivalent Cs(1)Cl12 cuboctahedra, faces with six equivalent Cs(1)Cl12 cuboctahedra, and faces with four equivalent Ti(1)Cl6 octahedra. All Cs(1)-Cl(1) bond lengths are 3.67 Å. Ti(1) is bonded to six equivalent Cl(1) atoms to form TiCl6 octahedra that share faces with eight equivalent Cs(1)Cl12 cuboctahedra. All Ti(1)-Cl(1) bond lengths are 2.36 Å. Cl(1) is bonded in a distorted single-bond geometry to four equivalent Cs(1) and one Ti(1) atom."
mp-865924,LiZrAu2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Au(1) atoms. All Li(1)-Au(1) bond lengths are 2.85 Å. Zr(1) is bonded in a body-centered cubic geometry to eight equivalent Au(1) atoms. All Zr(1)-Au(1) bond lengths are 2.85 Å. Au(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Zr(1) atoms.
mp-22725,TiCu2In is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Cu(1) atoms. All Ti(1)-Cu(1) bond lengths are 2.69 Å. Cu(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent In(1) atoms. All Cu(1)-In(1) bond lengths are 2.69 Å. In(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Cu(1) atoms.
mp-864992,NbMnRu2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Nb(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Nb(1)-Ru(1) bond lengths are 2.68 Å. Mn(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Mn(1)-Ru(1) bond lengths are 2.68 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Nb(1) and four equivalent Mn(1) atoms.
mp-867125,RuPtAl2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Al(1) atoms. All Ru(1)-Al(1) bond lengths are 2.60 Å. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent Al(1) atoms. All Pt(1)-Al(1) bond lengths are 2.60 Å. Al(1) is bonded in a body-centered cubic geometry to four equivalent Ru(1) and four equivalent Pt(1) atoms.
mp-1253,"BaSe is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Ba(1) is bonded to six equivalent Se(1) atoms to form a mixture of edge and corner-sharing BaSe6 octahedra. The corner-sharing octahedra are not tilted. All Ba(1)-Se(1) bond lengths are 3.33 Å. Se(1) is bonded to six equivalent Ba(1) atoms to form a mixture of edge and corner-sharing SeBa6 octahedra. The corner-sharing octahedra are not tilted."
mp-23251,"KBr is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. K(1) is bonded to six equivalent Br(1) atoms to form a mixture of edge and corner-sharing KBr6 octahedra. The corner-sharing octahedra are not tilted. All K(1)-Br(1) bond lengths are 3.29 Å. Br(1) is bonded to six equivalent K(1) atoms to form a mixture of edge and corner-sharing BrK6 octahedra. The corner-sharing octahedra are not tilted."
mp-20841,"Ba2CaIrO6 is (Cubic) Perovskite-derived structured and crystallizes in the cubic Fm-3m space group. Ba(1) is bonded to twelve equivalent O(1) atoms to form BaO12 cuboctahedra that share corners with twelve equivalent Ba(1)O12 cuboctahedra, faces with six equivalent Ba(1)O12 cuboctahedra, faces with four equivalent Ca(1)O6 octahedra, and faces with four equivalent Ir(1)O6 octahedra. All Ba(1)-O(1) bond lengths are 3.00 Å. Ca(1) is bonded to six equivalent O(1) atoms to form CaO6 octahedra that share corners with six equivalent Ir(1)O6 octahedra and faces with eight equivalent Ba(1)O12 cuboctahedra. The corner-sharing octahedra are not tilted. All Ca(1)-O(1) bond lengths are 2.28 Å. Ir(1) is bonded to six equivalent O(1) atoms to form IrO6 octahedra that share corners with six equivalent Ca(1)O6 octahedra and faces with eight equivalent Ba(1)O12 cuboctahedra. The corner-sharing octahedra are not tilted. All Ir(1)-O(1) bond lengths are 1.95 Å. O(1) is bonded in a distorted linear geometry to four equivalent Ba(1), one Ca(1), and one Ir(1) atom."
mp-866162,YAg2Mg is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Ag(1) atoms. All Mg(1)-Ag(1) bond lengths are 3.01 Å. Y(1) is bonded in a body-centered cubic geometry to eight equivalent Ag(1) atoms. All Y(1)-Ag(1) bond lengths are 3.01 Å. Ag(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Y(1) atoms.
mp-862369,Sc2RuIr is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Ru(1) and four equivalent Ir(1) atoms. All Sc(1)-Ru(1) bond lengths are 2.78 Å. All Sc(1)-Ir(1) bond lengths are 2.78 Å. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-862561,ScRu2Sb is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) and six equivalent Sb(1) atoms. All Sc(1)-Ru(1) bond lengths are 2.75 Å. All Sc(1)-Sb(1) bond lengths are 3.18 Å. Ru(1) is bonded in a distorted body-centered cubic geometry to four equivalent Sc(1) and four equivalent Sb(1) atoms. All Ru(1)-Sb(1) bond lengths are 2.75 Å. Sb(1) is bonded in a distorted body-centered cubic geometry to six equivalent Sc(1) and eight equivalent Ru(1) atoms.
mp-865049,MgHfPd2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Mg(1)-Pd(1) bond lengths are 2.80 Å. Hf(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Hf(1)-Pd(1) bond lengths are 2.80 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Hf(1) atoms.
mp-865079,TiPd2Zn is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Ti(1)-Pd(1) bond lengths are 2.68 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Zn(1) atoms. All Pd(1)-Zn(1) bond lengths are 2.68 Å. Zn(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms.
mp-867874,BeVRu2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Be(1)-Ru(1) bond lengths are 2.51 Å. V(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All V(1)-Ru(1) bond lengths are 2.51 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Be(1) and four equivalent V(1) atoms.
mp-865471,VTc2Ga is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a body-centered cubic geometry to eight equivalent Tc(1) atoms. All V(1)-Tc(1) bond lengths are 2.62 Å. Tc(1) is bonded in a body-centered cubic geometry to four equivalent V(1) and four equivalent Ga(1) atoms. All Tc(1)-Ga(1) bond lengths are 2.62 Å. Ga(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Tc(1) atoms.
mp-5159,LiPdGa2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to six equivalent Pd(1) and eight equivalent Ga(1) atoms. All Li(1)-Pd(1) bond lengths are 3.06 Å. All Li(1)-Ga(1) bond lengths are 2.65 Å. Pd(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Ga(1) atoms. All Pd(1)-Ga(1) bond lengths are 2.65 Å. Ga(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Pd(1) atoms.
mp-600125,HfCu2In is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a body-centered cubic geometry to eight equivalent Cu(1) and six equivalent In(1) atoms. All Hf(1)-Cu(1) bond lengths are 2.75 Å. All Hf(1)-In(1) bond lengths are 3.17 Å. Cu(1) is bonded in a body-centered cubic geometry to four equivalent Hf(1) and four equivalent In(1) atoms. All Cu(1)-In(1) bond lengths are 2.75 Å. In(1) is bonded in a distorted body-centered cubic geometry to six equivalent Hf(1) and eight equivalent Cu(1) atoms.
mp-867249,Fe2Ta(Al) is Heusler structured and crystallizes in the cubic Fm-3m space group. Ta(1) is bonded in a body-centered cubic geometry to eight equivalent Fe(1) atoms. All Ta(1)-Fe(1) bond lengths are 2.54 Å. Fe(1) is bonded in a body-centered cubic geometry to four equivalent Ta(1) and four equivalent Al(1) atoms. All Fe(1)-Al(1) bond lengths are 2.54 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Fe(1) atoms.
mp-862258,Sc2PtZn is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Pt(1) and four equivalent Zn(1) atoms. All Sc(1)-Pt(1) bond lengths are 2.86 Å. All Sc(1)-Zn(1) bond lengths are 2.86 Å. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Zn(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-74,"Rh is Copper structured and crystallizes in the cubic Fm-3m space group. Rh(1) is bonded to twelve equivalent Rh(1) atoms to form a mixture of edge, face, and corner-sharing RhRh12 cuboctahedra. All Rh(1)-Rh(1) bond lengths are 2.69 Å."
mp-862486,Sc2OsAl is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Os(1) and four equivalent Al(1) atoms. All Sc(1)-Os(1) bond lengths are 2.84 Å. All Sc(1)-Al(1) bond lengths are 2.84 Å. Os(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Al(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-20211,"Mn3Si is alpha bismuth trifluoride structured and crystallizes in the cubic Fm-3m space group. There are two inequivalent Mn sites. In the first Mn site, Mn(1) is bonded in a distorted body-centered cubic geometry to four equivalent Mn(2) and four equivalent Si(1) atoms. All Mn(1)-Mn(2) bond lengths are 2.44 Å. All Mn(1)-Si(1) bond lengths are 2.44 Å. In the second Mn site, Mn(2) is bonded in a 14-coordinate geometry to eight equivalent Mn(1) and six equivalent Si(1) atoms. All Mn(2)-Si(1) bond lengths are 2.82 Å. Si(1) is bonded in a distorted body-centered cubic geometry to six equivalent Mn(2) and eight equivalent Mn(1) atoms."
mp-1569,Be2C is Fluorite structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded to four equivalent C(1) atoms to form a mixture of edge and corner-sharing BeC4 tetrahedra. All Be(1)-C(1) bond lengths are 1.87 Å. C(1) is bonded in a body-centered cubic geometry to eight equivalent Be(1) atoms.
mp-862370,Sc2RuPd is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Ru(1) and four equivalent Pd(1) atoms. All Sc(1)-Ru(1) bond lengths are 2.81 Å. All Sc(1)-Pd(1) bond lengths are 2.81 Å. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Pd(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-557686,VZrF6 is alpha Rhenium trioxide-derived structured and crystallizes in the cubic Fm-3m space group. Zr(1) is bonded to six equivalent F(1) atoms to form ZrF6 octahedra that share corners with six equivalent V(1)F6 octahedra. The corner-sharing octahedra are not tilted. All Zr(1)-F(1) bond lengths are 2.02 Å. V(1) is bonded to six equivalent F(1) atoms to form VF6 octahedra that share corners with six equivalent Zr(1)F6 octahedra. The corner-sharing octahedra are not tilted. All V(1)-F(1) bond lengths are 2.05 Å. F(1) is bonded in a linear geometry to one Zr(1) and one V(1) atom.
mp-30657,Ni2TiGa is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Ni(1) and six equivalent Ga(1) atoms. All Ti(1)-Ni(1) bond lengths are 2.53 Å. All Ti(1)-Ga(1) bond lengths are 2.92 Å. Ni(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Ga(1) atoms. All Ni(1)-Ga(1) bond lengths are 2.53 Å. Ga(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ti(1) and eight equivalent Ni(1) atoms.
mp-3657,Co2TiSi is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Co(1) and six equivalent Si(1) atoms. All Ti(1)-Co(1) bond lengths are 2.48 Å. All Ti(1)-Si(1) bond lengths are 2.86 Å. Co(1) is bonded in a distorted body-centered cubic geometry to four equivalent Ti(1) and four equivalent Si(1) atoms. All Co(1)-Si(1) bond lengths are 2.48 Å. Si(1) is bonded in a 14-coordinate geometry to six equivalent Ti(1) and eight equivalent Co(1) atoms.
mp-22503,Co2ZrSn is Heusler structured and crystallizes in the cubic Fm-3m space group. Zr(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Co(1) and six equivalent Sn(1) atoms. All Zr(1)-Co(1) bond lengths are 2.71 Å. All Zr(1)-Sn(1) bond lengths are 3.13 Å. Co(1) is bonded in a distorted body-centered cubic geometry to four equivalent Zr(1) and four equivalent Sn(1) atoms. All Co(1)-Sn(1) bond lengths are 2.71 Å. Sn(1) is bonded in a 14-coordinate geometry to six equivalent Zr(1) and eight equivalent Co(1) atoms.
mp-864987,MnRh2Zn is Heusler structured and crystallizes in the cubic Fm-3m space group. Mn(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Mn(1)-Rh(1) bond lengths are 2.60 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Mn(1) and four equivalent Zn(1) atoms. All Rh(1)-Zn(1) bond lengths are 2.60 Å. Zn(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms.
mp-643002,"Mg2OsH6 crystallizes in the cubic Fm-3m space group. Mg(1) is bonded to twelve equivalent H(1) atoms to form MgH12 cuboctahedra that share corners with twelve equivalent Mg(1)H12 cuboctahedra, faces with six equivalent Mg(1)H12 cuboctahedra, and faces with four equivalent Os(1)H6 octahedra. All Mg(1)-H(1) bond lengths are 2.35 Å. Os(1) is bonded to six equivalent H(1) atoms to form OsH6 octahedra that share faces with eight equivalent Mg(1)H12 cuboctahedra. All Os(1)-H(1) bond lengths are 1.68 Å. H(1) is bonded to four equivalent Mg(1) and one Os(1) atom to form a mixture of edge, face, and corner-sharing HMg4Os square pyramids."
mp-2647,AuAl2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Au(1) is bonded in a body-centered cubic geometry to eight equivalent Al(1) atoms. All Au(1)-Al(1) bond lengths are 2.60 Å. Al(1) is bonded to four equivalent Au(1) atoms to form a mixture of edge and corner-sharing AlAu4 tetrahedra.
mp-492,"TiN is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded to six equivalent N(1) atoms to form a mixture of edge and corner-sharing TiN6 octahedra. The corner-sharing octahedra are not tilted. All Ti(1)-N(1) bond lengths are 2.12 Å. N(1) is bonded to six equivalent Ti(1) atoms to form a mixture of edge and corner-sharing NTi6 octahedra. The corner-sharing octahedra are not tilted."
mp-865076,NaPtCd2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Na(1) is bonded in a distorted body-centered cubic geometry to six equivalent Pt(1) and eight equivalent Cd(1) atoms. All Na(1)-Pt(1) bond lengths are 3.35 Å. All Na(1)-Cd(1) bond lengths are 2.90 Å. Pt(1) is bonded in a distorted body-centered cubic geometry to six equivalent Na(1) and eight equivalent Cd(1) atoms. All Pt(1)-Cd(1) bond lengths are 2.90 Å. Cd(1) is bonded in a body-centered cubic geometry to four equivalent Na(1) and four equivalent Pt(1) atoms.
